yearnum,od_diemed,od_dieQ025,od_dieQ975,odmed,odQ025,odQ975,oudmed,oudQ025,oudQ975,moudmed,moudQ025,moudQ975
2013,2.2789425706472195,2.01511572980633,2.9461084639465165,16.440831074977417,14.966051614120016,18.301050042608335,15.132178669097538,14.256400566839867,15.973078927957527,20.365296803652967,17.998087406161417,20.99381050319629
2014,3.3783783783783785,2.801600158084753,3.9264801231299398,18.370103556956327,15.723727666284068,21.287634343089707,14.078768673607966,13.923638374275788,14.837180719666087,19.0004502476362,17.75460360677153,20.79833726891219
2015,4.604380867232901,4.337532533256217,4.659737162705098,20.986547085201792,17.335815500289186,22.308741798122963,13.561582925744775,13.102805089647195,14.036578056373546,17.623318385650226,15.293969193929195,18.032935272819664
2016,5.7854917668001775,5.736241134751773,6.078510479930098,20.66518847006652,19.186696813501595,21.299940898345152,12.933333333333334,12.742314830506723,13.476122800396283,14.501108647450112,13.581376823944929,15.134913754975674
2017,6.864481842338352,6.386672594936931,7.565638450502153,18.928414580588495,16.564557680172747,22.200360776858435,11.95748449955713,11.164414974250537,12.491830065359476,10.850310008857395,10.324016665026408,12.000194338476417
2018,7.689003436426117,6.926774626424364,8.009309704187022,16.70995670995671,15.979855381226642,19.47990572336598,11.690017513134851,10.665496665496665,12.214918947434304,8.24742268041237,6.265084523149039,8.918841125640414
2019,8.466522678185745,7.256723112100389,8.758431762874219,14.006938421509108,13.480395414520686,15.244179834994497,10.581092801387685,10.118935869745806,11.309597622167537,5.9877622377622375,5.068897859852022,6.3747647083308285
2020,8.946917808219178,8.599506537284565,9.882362016430749,13.09931506849315,11.888262377588958,14.083649957682347,10.205831903945112,9.09669706636945,10.344325558958742,4.582095884599067,3.5794867125637353,5.462301822847944
2021,9.38987451319775,8.626434641201104,10.140989011150602,11.795543905635649,11.432978746370983,14.429015091470811,8.48976109215017,8.008057568473237,9.381683939209909,3.4467901766479967,3.070219436897085,4.015770493049084
2022,0.2,0.11000000000000001,0.3,0.25,0.25,0.39000000000000007,2.3,2.2049999999999996,2.6449999999999996,0.8500000000000001,0.7000000000000001,1.135
